DE
LA
ET
À
LE
IL
ÊTRE
LES
NE
UN
AVOIR
JE
DES
UNE
PAS
EN
DANS
QUI
QUI
ELLE
DU
SE
ÊTRE
AVOIR
POUR
FAIRE
AU
SUR
PLUS
ON
DIRE
SON
MAIS
ME
LUI
AVEC
NOUS
SA
PAR
VOUS
COMME
QUE
QUE
TOUT
TOUT
SES
Y
CE
ALLER
ILS
POUVOIR
TU
BIEN
ÇA
OU
LE
VOIR
CETTE
MON
SANS
OÙ
SAVOIR
AUX
MOI
MA
VOULOIR
TOUT
ENCORE
DEUX
CES
PETIT
RIEN
VENIR
QUAND
PRENDRE
LES
HOMME
AUSSI
MÊME
JOUR
DEVOIR
TEMPS
FALLOIR
GRAND
OEIL
MAIN
PASSER
FOIS
NON
JAMAIS
TRÈS
TOUJOURS
LÀ
PARLER
METTRE
CHOSE
ALORS
SOUS
PEU
MES
REGARDER
FEMME
DEMANDER
TROUVER
DONT
DONT
VERS
SUIVRE
CROIRE
SI
HEURE
TÊTE
SEUL
DONNER
LEURS
AUTRE
PENSER
VIE
LAISSER
TOUT
COUP
PUIS
ENTRE
APRÈS
MÊME
AIMER
RESTER
TROP
BON
TE
MÈRE
CELA
MONDE
TENIR
NUIT
QUELQUES
ENFANT
PÈRE
ARRIVER
ENTENDRE
SENTIR
MOINS
ATTENDRE
DÉJÀ
PEUT-ÊTRE
AIR
DEVANT
MOMENT
AN
NOTRE
CHEZ
PREMIER
NI
AUTRE
TROIS
OUI
CONNAÎTRE
SORTIR
BEAU
PORTE
COMPRENDRE
VOIX
ELLES
FILLE
CONTRE
NOS
MAISON
AVANT
SEMBLER
JEUNE
CÔTÉ
VISAGE
PEU
RUE
SOIR
QUELQUE
MOT
DEPUIS
DEVENIR
VIEUX
EUX
CET
MAINTENANT
OUVRIR
REVENIR
BRAS
PIED
CHAQUE
PARTIR
ICI
NOIR
CORPS
PORTER
AINSI
CAR
PLACE
RENDRE
RÉPONDRE
PRESQUE
APPELER
ARRÊTER
BEAUCOUP
VIVRE
EAU
TERRE
MORT
LOIN
TOI
PENDANT
CHERCHER
PARAÎTRE
DONC
LONG
TOMBER
LEVER
ENFIN
TANT
BLANC
VRAI
VOTRE
LEUR
LEUR
REGARD
COMMENCER
ASSEZ
FINIR
RETROUVER
CHAMBRE
SÛR
GENS
POSER
MONTER
AMOUR
DERNIER
COEUR
PEINE
ENTRER
MIEUX
BOUT
SEULEMENT
MATIN
DIEU
ASSEOIR
NOM
MOURIR
TIRER
QUOI
QUOI
TABLE
PERDRE
TOURNER
FOND
POURTANT
ANNÉE
AUTRES
PLEIN
COMME
AUTOUR
HISTOIRE
FAIT
GUERRE
AMI
GROS
VILLE
VITE
DOUTE
MAL
DERRIÈRE
AILLEURS
FORCE
TARD
ÉCRIRE
INSTANT
REPRENDRE
LIT
JOUER
JETER
LONGTEMPS
SOLEIL
PAS
VOILÀ
IDÉE
QUESTION
MARCHER
SILENCE
MONSIEUR
LIRE
POINT
RIRE
PART
CELUI
QUITTER
MUR
FIN
ÉCOUTER
PERSONNE
PEUR
TON
CEUX
RAISON
TOUR
SORTE
CIEL
MOIS
DESCENDRE
BOIS
CELLE
FRANÇAIS
POURQUOI
AH
ESSAYER
NOUVEAU
SURTOUT
RETOURNER
POUSSER
ÉPAULE
TRAIN
ROUTE
PARFOIS
OUBLIER
SOUVENT
APPRENDRE
LIVRE
SERVIR
PRÈS
BOUCHE
VOITURE
CONTINUER
QUATRE
BRUIT
TOUT
PLUTÔT
MANGER
FENÊTRE
RENTRER
FAÇON
MONTRER
PIÈCE
SUITE
DÈS
FAMILLE
VRAIMENT
BOIRE
LUMIÈRE
ROUGE
PUIS
GESTE
FACE
CHEVEU
LIEU
BESOIN
QUEL
TRAVAIL
COURIR
SOURIRE
GARÇON
RACONTER
DORMIR
ENVIE
MER
GARDER
DOIGT
MILIEU
LETTRE
AFFAIRE
TA
FILS
TRAVERS
CHANGER
QUELLE
PAYS
COMMENT
IMAGINER
AUTANT
CRIER
TOUS
GÉNÉRAL
FEU
ORDRE
EXPLIQUER
PLAISIR
OMBRE
APERCEVOIR
CHEMIN
VERRE
GLISSER
RECONNAÎTRE
BORD
AJOUTER
RECEVOIR
LÈVRE
JAMBE
CINQ
VENT
OCCUPER
AGIR
TENDRE
ÉTAT
SENS
ÂGE
CAS
FRÈRE
ESPRIT
SALLE
SOUVENIR
SOURIRE
DÉCIDER
DOS
OFFRIR
FORT
POSSIBLE
PARTIE
QUOI
DIX
PERSONNE
ARBRE
COMPTE
BLEU
SERRER
PROPRE
SANG
SOUDAIN
LORSQUE
CHEF
COMPTER
PLUSIEURS
MADAME
PAPIER
TRAVAILLER
REMETTRE
LUI-MÊME
RAPPELER
MINUTE
TRAVERSER
MAUVAIS
RÉPÉTER
UNE
COIN
COULEUR
DÉCOUVRIR
JOURNAL
MANQUER
SEMAINE
CAUSE
FERMER
SOUVENIR
HAUT
COUCHER
APPROCHER
ODEUR
AVANCER
ARGENT
TOUTE
OREILLE
MAL
EFFET
MALGRÉ
TOUCHER
HEUREUX
AUSSITÔT
PIERRE
IMAGE
RENCONTRER
CHACUN
PEAU
PAUVRE
BAS
JARDIN
VIEUX
NOUVEAU
POURQUOI
LAQUELLE
LAQUELLE
CHIEN
PERMETTRE
TYPE
DISPARAÎTRE
MOUVEMENT
CERTAIN
CERTAIN
BATTRE
CACHER
AUCUN
GAGNER
VOS
JOURNÉE
PARTOUT
CHEVAL
PAROLE
CESSER
ENVOYER
NEZ
CAFÉ
COURS
FORME
EH
AU-DESSUS
VALOIR
AUCUNE
SAC
PREMIER
JEU
IMPORTER
NOUVELLE
FOUTRE
PARMI
LONG
EMPÊCHER
TUER
PETIT
BIENTÔT
ENSUITE
RESTE
TELLEMENT
FRAPPER
NU
LIBRE
LANCER
COMMENT
FRANÇAIS
FLEUR
FOU
DROIT
ROULER
DROIT
PLEURER
BONHEUR
LIGNE
INSTALLER
FROID
SIGNE
SOEUR
REMONTER
SUFFIRE
APPORTER
APPARAÎTRE
FRONT
HÔTEL
DEBOUT
AIDER
RETOUR
GENRE
MANIÈRE
RESSEMBLER
SENTIMENT
PRÈS
BOUGER
CLAIR
LENTEMENT
PARVENIR
SIX
PENCHER
OSER
RIRE
CRI
IMPRESSION
ANCIEN
GRIS
VINGT
HABITUDE
PASSAGE
PRÉPARER
JUSTE
MARCHE
REFUSER
ÂME
PENSÉE
MAÎTRE
DAME
LÉGER
SOL
JOIE
PAYER
COUR
BUREAU
PAREIL
LENDEMAIN
ESCALIER
SIMPLE
ACHETER
EXISTER
ROBE
ENTIER
VIDE
DUR
ARMÉE
TON
PARENT
POCHE
LOURD
VERT
ÉGLISE
DOUX
ENSEMBLE
TES
ACCEPTER
CONDUIRE
MAMAN
VUE
ÉCOLE
VILLAGE
RETENIR
SEC
SERVICE
REMARQUER
MILLE
VENTRE
GOÛT
ESPÈCE
DÉBUT
PRÉSENT
FIXER
COUPER
VÉRITÉ
PHRASE
FORT
VOYAGE
PLAIRE
TAIRE
CEPENDANT
REVOIR
ÉPOQUE
FEUILLE
MENER
ENDROIT
EMBRASSER
APRÈS
LEQUEL
LEQUEL
EFFORT
CHANCE
ACCORD
INTÉRIEUR
SAISIR
PRÉSENCE
CUISINE
CENT
PRÉSENTER
ESPÉRER
REJOINDRE
SAUTER
GAUCHE
SIMPLEMENT
DEMAIN
BOÎTE
ANNONCER
CHOISIR
CHER
COUVRIR
LARME
PRÉFÉRER
ÉLOIGNER
SIÈCLE
MESURE
ÉCHAPPER
PATRON
OUVERT
GOUVERNEMENT
PUISQUE
RAPPORT
CHAT
MOINDRE
MÈTRE
OR
SOLDAT
DEMEURER
RÊVE
ABANDONNER
DOUCEMENT
RÊVER
GENOU
ONCLE
GRAND
ÉPROUVER
TENTER
ATTEINDRE
TÔT
EXEMPLE
ASSURER
LANGUE
APPUYER
CONTRAIRE
CHANTER
SOMBRE
DENT
ÉTÉ
RÉVEILLER
HAUT
RELEVER
ATTENTION
ACCOMPAGNER
OBJET
MARI
HASARD
MURMURER
DÉPART
TRAÎNER
ÊTRE
PLUIE
GROUPE
HÉSITER
CHARGER
RÉUSSIR
JOUE
SECONDE
EMPORTER
PRÊT
COULER
AMUSER
ÉNORME
JOLI
BAS
PROPOSER
NAÎTRE
SOUFFRIR
ENTRÉE
TELLE
HERBE
TANTE
CHAISE
DIFFICILE
DROITE
LÀ-BAS
AVANT
INTÉRESSER
BÊTE
DÉSIR
NOIR
SURPRENDRE
ÉTONNER
IMMOBILE
SECOUER
ALLUMER
CHALEUR
OBSERVER
TEL
PAGE
CONVERSATION
COU
BAISSER
CIGARETTE
SCÈNE
SOMMEIL
MUSIQUE
FER
DEPUIS
AVENIR
ELLE-MÊME
PASSÉ
ARRACHER
SOULEVER
FORÊT
CHAUD
MORT
NEUF
NEUF
OISEAU
MÊLER
CÔTE
HABITER
DEVINER
FOULE
QUARTIER
ENTOURER
GARDE
ENNEMI
ÉTENDRE
FRAIS
HUMAIN
ARME
QUELQUE
BRUSQUEMENT
CARTE
MÉMOIRE
SELON
GUÈRE
ÉVITER
VIN
FORMER
GUEULE
BON
JAUNE
SÉPARER
FAUX
JUSTE
RAMENER
DEHORS
COURT
CLASSE
IGNORER
TROU
CRAINDRE
ÎLE
COMBIEN
DIRECTION
CELLES
POUVOIR
OBLIGER
PRIX
LARGE
MOI-MÊME
PEUPLE
CAMPAGNE
COLLER
MOYEN
IMMENSE
TOILE
CHAMP
POURSUIVRE
PROPOS
OCCASION
PRIER
PROFOND
SUJET
TRISTE
EMMENER
PAIN
TROUPE
SITUATION
SONGER
ENFONCER
BRÛLER
COULOIR
POITRINE
BOUTEILLE
ENFANCE
ÉLEVER
PAIX
ÉTRANGE
COPAIN
HUIT
RESPIRER
FAUTEUIL
SALE
ESPOIR
PLACER
CHAIR
DURER
PROMETTRE
CERTAINS
PRINCE
SALON
DIMANCHE
ENTRAÎNER
MARQUER
ÉCLATER
SOUFFLE
COLÈRE
TERMINER
ACCROCHER
RÉPONSE
DRESSER
FIL
HIVER
MORCEAU
RISQUER
VISITE
APPARTEMENT
SAUVER
CAMARADE
ROI
FACILE
MAINTENIR
RETIRER
ADRESSER
NATIONAL
LIBERTÉ
FIN
DAVANTAGE
PROMENER
EXISTENCE
HONNEUR
INTÉRÊT
TROMPER
VOICI
TRAIT
CAMP
COMPAGNIE
JUGER
RÔLE
AUTREFOIS
TÉLÉPHONE
ÉTAGE
SABLE
GRAND-PÈRE
AVOUER
MILITAIRE
ROSE
IMPOSSIBLE
SECRET
NATURE
DIRIGER
GÉNÉRAL
FIGURE
FAUTE
DRÔLE
VIF
PROBLÈME
ARRIÈRE
QUINZE
BALLE
ENGAGER
GRAND-MÈRE
PHOTO
FÊTE
TREMBLER
AMENER
GRAVE
AUPRÈS
LAMPE
CASSER
BEAUTÉ
HIER
MALHEUR
VENDRE
CAPITAINE
DANSER
SONNER
HORS
APPARTENIR
ÉCARTER
EXACTEMENT
OEUVRE
VIVANT
DIFFÉRENT
CONFIANCE
LOINTAIN
TRANQUILLE
DOULEUR
REFERMER
TOIT
CONDITION
ALLEMAND
ART
CHEMISE
PROFITER
DÉTAIL
DÉFENDRE
GLACE
ÉCRASER
PONT
POSTE
ÉPAIS
PUR
HAUT
VÊTEMENT
TABLEAU
COUSIN
ALLONGER
GAUCHE
SINON
AGITER
PAQUET
LÂCHER
POIDS
RÉFLÉCHIR
VEILLE
PLAN
HURLER
VOLER
SECOND
ESPACE
FILER
DÉSORMAIS
HEIN
DOUTER
ÉVIDEMMENT
TERRIBLE
CHAPEAU
TRUC
PASSION
REPARTIR
ACTION
CONSIDÉRER
DOCTEUR
TROTTOIR
PARTI
PÉNÉTRER
RARE
PRÊTER
PERSONNAGE
PLAGE
GORGE
MEILLEUR
IMPORTANT
ALLEMAND
CONTENT
CAPABLE
PLONGER
DERNIER
PRONONCER
ÉCLAIRER
BRANCHE
REPRÉSENTER
JEUNESSE
PATTE
MACHINE
LIVRER
AVENTURE
ÉVÉNEMENT
MÉTIER
RIDEAU
GARE
CENTRE
CONSEIL
FUMER
DERRIÈRE
SEIN
SAUF
REPOSER
POINTE
TAS
CARESSER
POLICE
SOI
SOUFFLER
PÂLE
HONTE
RECOMMENCER
DISPOSER
SECRET
BAIN
PROCHE
FRANC
ÉCLAT
RÉALITÉ
ANIMAL
VACANCE
